detailFund.acronym,detailFund.tradingName,detailFund.tradingCode,detailFund.tradingCodeOthers,detailFund.cnpj,detailFund.classification,detailFund.webSite,detailFund.fundAddress,detailFund.fundPhoneNumberDDD,detailFund.fundPhoneNumber,detailFund.fundPhoneNumberFax,detailFund.positionManager,detailFund.managerName,detailFund.companyAddress,detailFund.companyPhoneNumberDDD,detailFund.companyPhoneNumber,detailFund.companyPhoneNumberFax,detailFund.companyEmail,detailFund.companyName,detailFund.quotaCount,detailFund.quotaDateApproved,detailFund.typeFNET,detailFund.codes,detailFund.codesOther,detailFund.segment,shareHolder.shareHolderName,shareHolder.shareHolderAddress,shareHolder.shareHolderPhoneNumberDDD,shareHolder.shareHolderPhoneNumber,shareHolder.shareHolderFaxNumber,shareHolder.shareHolderEmail,url
CFII,FII CF3 IMOB,,,41325993000159,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,http://www.catuaiasset.com.br/,"Av. Brigadeiro Faria Lima, 1355 - 5º ANDAR - CEP: 1452919 CIDADE: SÃO PAULO UF: SP",11,28273615,0,DIRETOR RESPONSAVEL                     ,DANIEL DOLL LEMOS                                           ,"Av. Brigadeiro Faria Lima, 1355 - 5º ANDAR - CEP: 1452919 CIDADE: SÃO PAULO UF: SP",11,28273615,0,administracao.fundos@singulare.com.br,CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII       ,500000,2022-10-24,,,,,SINGULARE CORRETORA DE TITULOS E VALORES,"AV BRIG. FARIA LIMA, 1355 - 5.ANDAR - CEP: 1452002 Cidade: SÃO PAULO UF: SP",11,28273500,0,daniel@singulare.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiNDEzMjU5OTMwMDAxNTkiLCJpZGVudGlmaWVyRnVuZCI6IkNGSUkiLCJ0eXBlRnVuZCI6N30=
GCOI,FII GALAP SP,,,46285299000179,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,WWW.singulare.com.br,"Avenida Brigadeiro Faria Lima, 1355 - 5º ANDAR - CEP: 1452552 CIDADE: SÃO PAULO UF: SP",11,28273615,0,DIRETOR RESPONSAVEL                     ,DANIEL DOLL LEMOS                                           ,"Avenida Brigadeiro Faria Lima, 1355 - 5º ANDAR - CEP: 1452552 CIDADE: SÃO PAULO UF: SP",11,28273615,0,administracao.fundos@singulare.com.br,GALAPAGOS SPECIAL OPORTUNITIES FII                ,113000,2023-01-02,,,,,SINGULARE CORRETORA DE TITULOS E VALORES,"AV BRIG. FARIA LIMA, 1355 - 5.ANDAR - CEP: 1452002 Cidade: SÃO PAULO UF: SP",11,28273500,0,daniel@singulare.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiNDYyODUyOTkwMDAxNzkiLCJpZGVudGlmaWVyRnVuZCI6IkdDT0kiLCJ0eXBlRnVuZCI6N30=
AFHI,FII AFHI CRI,AFHI11 ,,36642293000158,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.btgpactual.com/asset-management/administracao-fiduciaria,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,DIRETOR RESPONSAVEL                     ,ALLNA HADID                                                 ,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,ol-reguladores@btgpactual.com,AF INVEST CRI FDO. INV. IMOB - RECEBÍVEIS IMOB.   ,3019453,2022-07-04,,['AFHI11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJBRkhJIn0=
MGFF,FII MOGNO   ,MGFF11 ,,29216463000177,Financeiro e Outros/Fundos/Fundos Imobiliários,www.btgpactual.com,N/I PRAIA DO BOTAFOGO 501 - 5 AND (PARTE) - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33832513,0,DIRETOR RESPONSAVEL,ALLAN HADID,N/I PRAIA DO BOTAFOGO 501 - 5 AND (PARTE) - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33832513,0,SH-contato-fundoimobiliario@btgpactual.com,FDO INV IMOB MOGNO FUNDO DE FUNDOS                ,9050620,2020-07-09,,['MGFF11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJNR0ZGIn0=
MAXR,FII MAX RET ,MAXR11 ,,11274415000170,Financeiro e Outros/Fundos/Fundos Imobiliários,www.btgpactual.com,N/I PRAIA DE BOTAFOGO 501 - 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33833441,40814697,DIRETOR RESPONSAVEL,ALLAN HADID,AV BRIGADEIRO FARIA LIMA 3729 - 9 ANDAR - CEP: 4538133 CIDADE: SÃO PAULO UF: SP,11,33833441,40814697,sh-contato-fundoimobiliario@btgpactual.com,FDO INV IMOB - FII MAX RETAIL                     ,1125655,2021-04-26,,['MAXR11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJNQVhSIn0=
AAGR,FIAGRO AAGR ,,,44585001000110,Não Classificados                                                               ,https://www.ouropretoinvestimentos.com.br/,"RUA DR. RUBENS GOMES BUENO, 691 - 13º ANDAR CJ 131 - CEP: 4730903 CIDADE: SÃO PAULO UF: SP",11,26269780,0,DIRETOR RESPONSAVEL                     ,VITOR PEREDO MOSCATELLI                                     ,"RUA DR. RUBENS GOMES BUENO, 691 - 13º ANDAR CJ 131 - CEP: 4730903 CIDADE: SÃO PAULO UF: SP",11,26269780,0,vitor.moscatelli@azumidtvm.com.br,ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO        ,5000000,2022-10-31,,,,,AZUMI DTVM LTDA                         ,"AV Das Nações Unidas 17007 -  Torre Alpha, 13 - CEP: 4730090 Cidade: Várzea de Baixo UF: SP",11,26269780,0,VITOR.MOSCATELLI@AZUMIDTVM.COM.BR,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiNDQ1ODUwMDEwMDAxMTAiLCJpZGVudGlmaWVyRnVuZCI6IkFBR1IiLCJ0eXBlRnVuZCI6MzR9
ALMI,FII TORRE AL,ALMI11 ,,7122725000100,Financeiro e Outros/Fundos/Fundos Imobiliários,www.btgpactual.com/home/assetmanagement.aspx/FundosInvestimentoImobiliario,N/I PRAIA DE BOTAFOGO 501 - 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33833441,40814697,DIRETOR RESPONSAVEL,ALLAN HADID,AV BRIGADEIRO FARIA LIMA 3729 - 9 ANDAR - CEP: 4538133 CIDADE: SÃO PAULO UF: SP,11,33833441,40814697,sh-contato-fundoimobiliario@btgpactual.com,FDO INV IMOB - FII TORRE ALMIRANTE                ,111177,2018-12-07,,['ALMI11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJBTE1JIn0=
GSFI,FII GENERAL ,GSFI11 ,,11769604000113,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.trusteedtvm.com.br,"Avenida Brigadeiro Faria Lima, Itaim Bibi - CEP: 4538133 CIDADE: SÃO PAULO UF: SP",11,21974400,0,DIRETOR RESPONSAVEL                     ,ARTUR MARTINS DE FIGUEIREDO,AV BRIGADEIRO FARIA LIMA 3900 - 10 ANDAR - CEP: 4538132 CIDADE: SÃO PAULO UF: SP,11,21974400,0,corporativo@trusteedtvm.com.br,GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI,68482196,2019-03-08,,['GSFI11'],,,PLANNER TRUSTEE DTVM LTDA               ,AV Brigadeiro Faria Lima 3900 - 10º andar - CEP: 4538132 Cidade: São Paulo UF: SP,11,21722600,0,afigueiredo@planner.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJHU0ZJIn0=
HDOF,FII HEDGE OF,HDOF11 ,,35688460000139,Financeiro e Outros/Fundos/Fundos Imobiliários,https://www.hedgeinvest.com.br/,N/I AV BRIGADEIRO FARIA LIMA 3600 -11 AND. CJ 112 3600 - 11º ANDAR   CJ 112 - CEP: 4538132 CIDADE: SÃO PAULO UF: SP,11,54125400,0,DIRETOR RESPONSAVEL,MARIA CECILIA CARRAZEDO DE ANDRADE,N/I AV BRIGADEIRO FARIA LIMA 3600 -11 AND. CJ 112 3600 - 11º ANDAR   CJ 112 - CEP: 4538132 CIDADE: SÃO PAULO UF: SP,11,54125400,0,dtvm@hedgeinvest.com.br,HEDGE PALADIN DESIGN OFFICES FDO INV IMOB         ,1550169,2022-01-14,,['HDOF11'],,,HEDGE INVESTMENTS DTVM LTDA             ,AV BRIGADEIRO FARIA LIMA 3600 - 11 AND.CJ 112 - CEP: 4538132 Cidade: SAO PAULO UF: SP,11,54125490,0,escrituracao@hedgeinvest.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjM1Njg4NDYwMDAwMTM5IiwiaWRlbnRpZmllckZ1bmQiOiJIRE9GIn0=
BDIF,FIC INFR BTG,BDIF11 ,,40502607000194,Financeiro e Outros/Fundos/Fundos de Direitos Creditórios,www.btgpactual.com,N/I PRAIA DO BOTAFOGO 501 - 5 ANDAR - PARTE 501 - PRAIA DO BOTAFOGO 501 - 5 ANDAR - PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33836190,0,DIRETOR RESPONSAVEL,ALLAN HADID,N/I PRAIA DO BOTAFOGO 501 - 5 ANDAR - PARTE 501 - PRAIA DO BOTAFOGO 501 - 5 ANDAR - PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33836190,0,ri.fundoslistados@btgpacual.com,BTG PACTUAL DÍVIDA INFRA FIC. FDO. INC. IE. RF. CP,8202967,2022-07-28,,['BDIF11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6MjcsImNucGoiOiI0MDUwMjYwNzAwMDE5NCIsImlkZW50aWZpZXJGdW5kIjoiQkRJRiJ9
HGIC,FII HGI CRI ,HGIC11 ,,38456508000171,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.vortx.com.br,"Praia de Botafogo, 501 - Torre Corcovado, 5º andar - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,30307177,0,DIRETOR RESPONSAVEL                     ,ERNANE DIVINO DOS SANTOS ALVES,"Praia de Botafogo, 501 - Torre Corcovado, 5º andar - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,30307177,0,admfundos@vortx.com.br,HGI CRÉDITOS IMOBILIÁRIOS FDO. INV. IMOB.         ,140354,2022-03-21,,['HGIC11'],,,VORTX DTVM LTDA.                        ,R GILBERTO SABINO 215 - 4 ANDAR - CEP: 5425020 Cidade: SAO PAULO UF: SP,11,30307177,30307177,escrituracao@vortx.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjM4NDU2NTA4MDAwMTcxIiwiaWRlbnRpZmllckZ1bmQiOiJIR0lDIn0=
JSAF,FII JS A FIN,JSAF11 ,,42085661000107,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,WWW.SAFRA.COM.BR,Paulista - CEP: 1310300 CIDADE: SÃO PAULO UF: SP,11,31753703,0,DIRETOR RESPONSAVEL                     ,MARCOS LIMA MONTEIRO,PAULISTA - CEP: 1310300 CIDADE: SÃO PAULO UF: SP,11,31753703,0,juridico.asset@safra.com.br,JS ATIVOS FINANCEIROS FDO DE INV IMOBILIÁRIO      ,1573047,2021-08-17,,['JSAF11'],,,BANCO SAFRA S.A.                        ,AV PAULISTA 2150 - CEP: 1310200 Cidade: SÃO PAULO UF: SP,11,31757575,31757575,safra.asset@safra.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJKU0FGIn0=
EXES,FII EXES    ,EXES11 ,,41076851000103,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,WWW.BTGPACTUAL.COM,"PRAIA DE BOTAFOGO, 501 - 5 ANDAR (PARTE) - CEP: 22250040 CIDADE: RIO JANEIRO UF: RJ",11,33832513,0,DIRETOR RESPONSAVEL                     ,ALLAN HADID,"PRAIA DE BOTAFOGO, 501 - 5 ANDAR (PARTE) - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,SH-contato-fundoimobiliario@btgpactual.com,EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO            ,215435,2022-06-10,,['EXES11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJFWEVTIn0=
DLMT,FII DEL MONT,,,28108193000118,Financeiro e Outros/Fundos/Fundos Imobiliários,www.planner.com.br,AV BRIG. FARIA LIMA 3900 - 10o ANDAR - CEP: 4538132 CIDADE: SÃO PAULO UF: SP,11,21974400,0,DIRETOR RESPONSAVEL,ARTUR MARTINS DE FIGUEIREDO,AV BRIG. FARIA LIMA 3900 - 10o ANDAR - CEP: 4538132 CIDADE: SÃO PAULO UF: SP,11,21974400,0,corporativo@trusteedtvm.com.br,DEL MONTE AJAX FDO INV IMOB - FII                 ,7920000,2018-12-28,,,,,PLANNER TRUSTEE DTVM LTDA               ,AV Brigadeiro Faria Lima 3900 - 10º andar - CEP: 4538132 Cidade: São Paulo UF: SP,11,21722600,0,afigueiredo@planner.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJETE1UIn0=
BPLC,FII BASILICA,,,28267555000113,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,http://basilicapartners.com/contact,R. Dr. Eduardo de Souza Aranha - CEP: 4543120 CIDADE: SÃO PAULO UF: SP,11,35143144,0,DIRETOR RESPONSAVEL                     ,ALBERTO GARCIA ROCHE,R. Dr. Eduardo de Souza Aranha - CEP: 4543120 CIDADE: SÃO PAULO UF: SP,11,35143144,0,aroche@framcapitaldtvm.com,BASÍLICA PARTNERS LED CORPORATE FDO INV IMOB FII  ,32000,2022-01-26,,,,,FRAM CAPITAL DTVM S.A.                  ,R DR EDUARDO DE SOUZA ARANHA  153 - 4ºANDAR - CEP: 4543120 Cidade: SAO PAULO UF: SP,11,35133100,0,radib@framcapitaldtvm.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjI4MjY3NTU1MDAwMTEzIiwiaWRlbnRpZmllckZ1bmQiOiJCUExDIn0=
CCLB,FII C LEBLON,CCLB11 ,,45777347000183,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.singulare.com.br/,"Av. Brigadeiro Faria Lima, 1355 - 5º Andar - CEP: 1452919 CIDADE: SÃO PAULO UF: SP",11,28273615,0,DIRETOR RESPONSAVEL                     ,DANIEL DOLL LEMOS,"Av. Brigadeiro Faria Lima, 1355 - 5º Andar - CEP: 1452919 CIDADE: SÃO PAULO UF: SP",11,28273615,0,compliance@singulare.com.br,FII CENTRAL LEBLON - FDO INV IMOB                 ,630000,2022-11-16,,['CCLB11'],,,SINGULARE CORRETORA DE TITULOS E VALORES,"AV BRIG. FARIA LIMA, 1355 - 5.ANDAR - CEP: 1452002 Cidade: SÃO PAULO UF: SP",11,28273500,0,daniel@singulare.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJDQ0xCIn0=
MAXR,FII MAX RET ,MAXR11 ,,11274415000170,Financeiro e Outros/Fundos/Fundos Imobiliários,www.btgpactual.com,N/I PRAIA DE BOTAFOGO 501 - 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33833441,40814697,DIRETOR RESPONSAVEL,ALLAN HADID,AV BRIGADEIRO FARIA LIMA 3729 - 9 ANDAR - CEP: 4538133 CIDADE: SÃO PAULO UF: SP,11,33833441,40814697,sh-contato-fundoimobiliario@btgpactual.com,FDO INV IMOB - FII MAX RETAIL                     ,1125655,2021-04-26,,['MAXR11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjExMjc0NDE1MDAwMTcwIiwiaWRlbnRpZmllckZ1bmQiOiJNQVhSIn0=
TSER,FII TISHMAN ,TSER11 ,,34847042000184,Financeiro e Outros/Fundos/Fundos Imobiliários,www.brltrust.com.br/,R IGUATEMI 151 - 19º ANDAR - CEP: 1451011 CIDADE: SÃO PAULO UF: SP,11,31330350,0,DIRETOR RESPONSAVEL,DANILO CHRISTÓFARO BARBIERI,R IGUATEMI 151 - 19º ANDAR - CEP: 1451011 CIDADE: SÃO PAULO UF: SP,11,31330350,0,juridico.fundos@brl.com.br,TISHMAN SPEYER RENDA CORPORATIVA FDO. INV. IMOB.  ,1205000,2020-11-26,,['TSER11'],,,BRL TRUST DTVM S.A.                     ,"R IGUATEMI, 151 - 19.ANDAR - CEP: 1451011 Cidade: SAO PAULO UF: SP",11,31330350,0,funds@brltrust.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJUU0VSIn0=
GURB,FII PLUR URB,GURB11 ,,36501210000100,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.bancogenial.com,"Praia de Botafogo, 228 - sala 907 - CEP: 22250145 CIDADE: Rio de Janeiro UF: RJ",11,32068340,0,DIRETOR RESPONSAVEL                     ,RODRIGO DE GODOY                                            ,"Praia de Botafogo, 228 - sala 907 - CEP: 22250145 CIDADE: Rio de Janeiro UF: RJ",11,32068340,0,rodrigo.godoy@bancogenial.com,GENIAL RENDA URBANA FDO DE INV IMOB               ,405873,2022-12-05,,['GURB11'],,,BANCO GENIAL S.A.                       ,"PRAIA DO BOTAFOGO, 228 - SALA 907 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ",21,25400303,0,escrituracao@bancogenial.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJHVVJCIn0=
RZEO,FIAGRO RZEO ,,,45718511000181,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,https://www.genialinvestimentos.com.br/?kw=banco%20genial&utm_source=google-ads&utm_medium=search&ut,"AVENIDA Praia de Botafogo, 228 - 9º andar sala 907 - CEP: 22250145 CIDADE: RIO DE JANEIRO UF: RJ",11,32068340,0,DIRETOR RESPONSAVEL                     ,RODRIGO GODOY                                               ,"AVENIDA Praia de Botafogo, 228 - 9º andar sala 907 - CEP: 22250145 CIDADE: RIO DE JANEIRO UF: RJ",11,32068340,0,rodrigo.godoy@genial.com.vc,RIZA EOS FDO DE INV NAS CAD PROD - FIAGRO - IMOB  ,5500000,2022-12-23,,,,,BANCO GENIAL S.A.                       ,"PRAIA DO BOTAFOGO, 228 - SALA 907 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ",21,25400303,0,escrituracao@bancogenial.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6MzQsImlkZW50aWZpZXJGdW5kIjoiUlpFTyJ9
HGFF,FII CSHG FOF,HGFF11 ,,32784898000122,Financeiro e Outros/Fundos/Fundos Imobiliários,www.cshg.com.br,R LEOPOLDO COUTO DE MAGALHÃES JR 700  -  - CEP: 4542000 CIDADE: SÃO PAULO UF: SP,11,37018050,37018638,DIRETOR RESPONSAVEL,AUGUSTO MARTINS,R LEOPOLDO COUTO DE MAGALHÃES JR 700  -  - CEP: 4542000 CIDADE: SÃO PAULO UF: SP,11,37018050,37018638,list.imobiliario@cshg.com.br,CSHG IMOB. FOF - FDO INV. IMOB. - FII             ,2863597,2020-09-30,,['HGFF11'],,,ITAU CORRETORA ACOES                    ,RUA BOA VISTA 176 - 1.SUBSOLO - CEP: 1013001 Cidade: SÃO PAULO UF: SP,11,30039285,0,investfone@itau-unibanco.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjMyNzg0ODk4MDAwMTIyIiwiaWRlbnRpZmllckZ1bmQiOiJIR0ZGIn0=
DAMT,FII DIAMANTE,DAMT11B ,,26642727000166,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,,"PRAIA DE BOTAFOGO, 501 - 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,DIRETOR RESPONSAVEL                     ,ALLAN HADID                                                 ,"PRAIA DE BOTAFOGO, 501 - 5 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,ol-reguladores@btgpactual.com,DIAMANTE FDO INV IMOB                             ,7111482,2022-07-19,,['DAMT11B'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJEQU1UIn0=
BPML,FII BTG SHOP,BPML11 ,,33046142000149,Financeiro e Outros/Fundos/Fundos Imobiliários,www.btgpactual.com,N/I PRAIA DE BOTAFOGO 501 - 5 ANDAR  -  - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33832513,33832513,DIRETOR RESPONSAVEL,ALLAN HADID,N/I PRAIA DE BOTAFOGO 501 - 5 ANDAR  -  - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,33832513,33832513,SH-contato-fundoimobiliario@btgpactual.com,FDO INV IMOB BTG PACTUAL SHOPPINGS                ,4000000,2019-07-24,,['BPML11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjMzMDQ2MTQyMDAwMTQ5IiwiaWRlbnRpZmllckZ1bmQiOiJCUE1MIn0=
BARI,FII BARIGUI ,BARI11 ,,29267567000100,Financeiro e Outros/Fundos/Fundos Imobiliários,www.oliveiratrust.com.br,"AV DAS AMERICAS, 3434  - BLOCO 07 - CEP: 22640102 CIDADE: RIO DE JANEIRO UF: RJ",21,35140000,35140099,DIRETOR RESPONSAVEL,JOSE ALEXANDRE COSTA DE FREITAS,"AV DAS AMERICAS, 3434  - BLOCO 07 - CEP: 22640102 CIDADE: RIO DE JANEIRO UF: RJ",21,35140000,35140099,alexandre.freitas@oliveiratrust.com.br,FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII       ,4634191,2021-03-31,,['BARI11'],,,OLIVEIRA TRUST                          ,AV DAS AMÉRICAS 500 - BLOCO 13-GRUPO 205 - CEP: 22640100 Cidade: RIO DE JANEIRO UF: RJ,21,35140000,35140099,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJCQVJJIn0=
HUSC,FII H UNIMED,HUSC11 ,,28851767000143,Financeiro e Outros/Fundos/Fundos Imobiliários,WWW.RIOBRAVO.COM.BR,AV CHEDID JAFET 222 - BLOCO B - 3 ANDAR - CEP: 4551065 CIDADE: SÃO PAULO UF: SP,11,35096600,35096699,DIRETOR RESPONSAVEL,PAULO ANDRÉ PORTO BILYK,AV CHEDID JAFET 222 - BLOCO B - 3 ANDAR - CEP: 4551065 CIDADE: SÃO PAULO UF: SP,11,35096600,35096699,CORRESPONDENCIA@RIOBRAVO.COM.BR,FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA         ,850821,2018-06-11,,['HUSC11'],,,RIO BRAVO INVESTIMENTOS DTVM S.A.       ,"AV CHEDID JAFET, 222 - BLOCO B - 3.ANDAR - CEP: 4551065 Cidade: SAO PAULO UF: SP",11,35096600,0,escrituracao@riobravo.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjI4ODUxNzY3MDAwMTQzIiwiaWRlbnRpZmllckZ1bmQiOiJIVVNDIn0=
